Warehouse Code,Warehouse Name,Warehouse Country,Warehouse City,Customer Code,Customer Country,Customer City,Road,Rail,Sea,Air
2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,6002010-10,INDIA,THANE,200.0,150.0,0.0,220.0
2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,6002014-14,INDIA,NAVI MUMBAI,180.0,140.0,0.0,200.0
2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,6002018-18,INDIA,AKOLA,600.0,430.0,0.0,650.0
2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,6002020-20,INDIA,RATNAGIRI,520.0,380.0,0.0,540.0
2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,6003023-23,INDIA,DOMBIVLI,210.0,160.0,0.0,230.0
2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,7001001-01,UNITED ARAB EMIRATES,DUBAI,0.0,0.0,2000.0,2200.0
2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,7001002-02,UNITED ARAB EMIRATES,ABU DHABI,0.0,0.0,2200.0,2100.0
2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,7001003-03,UNITED ARAB EMIRATES,DUBAI,0.0,0.0,2100.0,2150.0
2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,7001005-05,UNITED ARAB EMIRATES,DUBAI,0.0,0.0,2050.0,2180.0
2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,7001008-08,UNITED ARAB EMIRATES,ABU DHABI,0.0,0.0,2250.0,2190.0
2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,7001009-09,UNITED ARAB EMIRATES,DUBAI,0.0,0.0,2150.0,2170.0
2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,7001010-10,UNITED ARAB EMIRATES,ABU DHABI,0.0,0.0,2300.0,2210.0
2501003,WAREHOUSE BANGALORE SOUTH,INDIA,BANGALORE,6003001-01,INDIA,HYDERABAD,850.0,620.0,0.0,800.0
2501003,WAREHOUSE BANGALORE SOUTH,INDIA,BANGALORE,6003002-02,INDIA,COIMBATORE,550.0,400.0,0.0,700.0
2501003,WAREHOUSE BANGALORE SOUTH,INDIA,BANGALORE,6003003-03,INDIA,KOCHI,1200.0,880.0,600.0,900.0
2501003,WAREHOUSE BANGALORE SOUTH,INDIA,BANGALORE,6003011-11,INDIA,TIRUPATI,700.0,500.0,0.0,750.0
2501003,WAREHOUSE BANGALORE SOUTH,INDIA,BANGALORE,6003015-15,INDIA,MYSORE,120.0,90.0,0.0,130.0
2501003,WAREHOUSE BANGALORE SOUTH,INDIA,BANGALORE,7001004-04,UNITED ARAB EMIRATES,ABU DHABI,0.0,0.0,2300.0,2250.0
2501003,WAREHOUSE BANGALORE SOUTH,INDIA,BANGALORE,7001006-06,UNITED ARAB EMIRATES,DUBAI,0.0,0.0,2350.0,2280.0
2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,6002007-07,INDIA,PUNE,450.0,330.0,0.0,350.0
2501003,WAREHOUSE BANGALORE SOUTH,INDIA,BANGALORE,6003004-04,INDIA,COIMBATORE,550.0,400.0,0.0,700.0
2501003,WAREHOUSE BANGALORE SOUTH,INDIA,BANGALORE,6003005-05,INDIA,KOCHI,1200.0,880.0,600.0,900.0
2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,7001007-07,UNITED ARAB EMIRATES,DUBAI,0.0,0.0,2150.0,2200.0
2501003,WAREHOUSE BANGALORE SOUTH,INDIA,BANGALORE,6003023-23,INDIA,HYDERABAD,850.0,620.0,0.0,800.0
2501003,WAREHOUSE BANGALORE SOUTH,INDIA,BANGALORE,6003030-30,INDIA,TIRUPATI,700.0,500.0,0.0,750.0
